"name","label","data_type","value_labels","n_missing","complete_rate","min","median","max","mean","sd","n_value_labels","hist","format.spss","display_width"
"ingreso_independientes",NA,"numeric",NA,49485,0.12026666666666663,"0.0e+00","2.0e+02"," 13550",371.06947228381375,642.1541104301093,NA,"▇▁▁▁▁","F8.2",NA
"ingreso_agro",NA,"numeric",NA,52040,0.07484444444444449,"2.5e-01","2.8e+01","  1000",58.19395882818686,91.89423772113958,NA,"▇▁▁▁▁","F8.2",NA
"ingreso_pensiones",NA,"numeric",NA,55295,0.01697777777777776,"3.8e+00","4.0e+02","  2500",453.5853507853403,324.4620649816934,NA,"▇▂▁▁▁","F8.2",NA
"ingreso_remesas",NA,"numeric",NA,51139,0.09086222222222218,"1.7e+00","1.5e+02","  2400",201.55272745059676,180.11087418015322,NA,"▇▁▁▁▁","F8.2",NA
"edicion","Año de levantamiento","numeric",NA,0,1,"2.0e+03","2.0e+03","  2023",2023,0,NA,"▁▁▇▁▁","F4.0","6"
"lote","Lote","numeric",NA,0,1,"2.0e+00","6.3e+03"," 12421",6396.788924444444,3774.928974400944,NA,"▇▆▅▇▇","F5.0","6"
"tipo","Tipo","haven_labelled","0. Hogar principal,
1. Doble hogar,
2. Doble hogar,
3. Doble hogar",0,1,"   0","   0.0","    4",0.02992,0.19770612209756466,4,"▇▁▁▁▁▁▁▁","F1.0","6"
"folio","Folio","numeric",NA,0,1,"2.0e-01","9.8e+01","  1683",107.06624355555556,78.04885308300247,NA,"▇▁▁▁▁","F6.3","6"
"viv","Vivienda","haven_labelled","0. Vivienda en muestra,
1. Vivienda extra",0,1,"   0","   0.0","    1",0.046328888888888885,0.21019825980309287,2,"▇▁▁▁▁▁▁▁","F1.0","6"
"r101","Número de orden","numeric",NA,0,1,"1.0e+00","2.0e+00","    15",2.477742222222222,1.4866208860148784,NA,"▇▂▁▁▁","F2.0","6"
"idboleta","Identificador de hogar","numeric",NA,0,1,"3.0e+05","3.1e+05","319406",308450.92832,6194.251514751133,NA,"▇▇▇▇▇","F7.0","6"
"fac00","Factor de expansión","numeric",NA,0,1,"1.3e+01","8.0e+01","   386",112.69121777777778,90.80006207529124,NA,"▇▃▁▁▁","F4.0","6"
"area","Área geográfica","haven_labelled","0. Rural,
1. Urbano",0,1,"   0","   1.0","    1",0.5412266666666666,0.49830189269426733,2,"▇▁▁▁▁▁▁▇","F1.0","6"
"region","Región geográfica","haven_labelled","1. Occidental,
2. Central I,
3. Central II,
4. Oriental,
5. Área metropolitana de San Salvador",0,1,"   1","   3.0","    5",2.8888000000000003,1.4065208284642772,5,"▇▇▁▆▁▇▁▆","F1.0","6"
"correlativo","Correlativo","numeric",NA,0,1,"2.0e+00","6.3e+03"," 12421",6396.788924444444,3774.928974400944,NA,"▇▆▅▇▇","F5.0","6"
"municauto","Municipios autorrepresentados","numeric",NA,0,1,"1.0e+00","1.3e+01","    50",22.697066666666665,20.1455979690596,NA,"▇▃▁▁▆","F2.0","6"
